,5-10,10-20,knife,img,match,set
1,0.946511327971442,0.757623319228849,E10:E10,1,match,1
2,0.900012287851956,0.703656743684668,E10:E10,2,match,1
3,0.862352578925844,0.745394663494771,E10:E10,3,match,1
4,0.860387889986641,0.872019690196752,E10:E10,4,match,1
5,0.950786049131923,0.914726841909815,E10:E10,5,match,1
6,0.912387202188688,0.88710271327075,E10:E10,6,match,1
7,0.924063812995463,0.898320738298088,E10:E10,7,match,1
8,0.920502214164675,0.864126481844854,E10:E10,8,match,1
9,0.944138865903231,0.881954453860273,E10:E10,9,match,1
10,0.891497568047667,0.842059824691034,T10:T10,1,match,1
11,0.867600890971607,0.80374393421152,T10:T10,2,match,1
12,0.946123057356511,0.836487803134613,T10:T10,3,match,1
13,0.979853369296007,0.85622335416717,T10:T10,4,match,1
14,0.436029308699693,0.758811922989388,T10:T10,5,match,1
15,0.254314075523688,0.761936987121233,T10:T10,6,match,1
16,0.527956930469816,0.682836755854878,T10:T10,7,match,1
17,0.276676475731252,0.579472717800935,T10:T10,8,match,1
18,0.751019401521607,0.705386489407725,T10:T10,9,match,1
19,0.954259629871382,0.85730193319119,E48:E48,1,match,1
20,0.888240045639119,0.839847628702811,E48:E48,2,match,1
21,0.843777410185659,0.765431955307433,E48:E48,3,match,1
22,0.8778055208521,0.833187172367763,E48:E48,4,match,1
23,0.87871133399501,0.839314277318651,E48:E48,5,match,1
24,0.903440971074716,0.875731731948565,E48:E48,6,match,1
25,0.946603285668943,0.84429984073619,E48:E48,7,match,1
26,0.920803807105337,0.84565187278351,E48:E48,8,match,1
27,0.90706644342458,0.801686213231933,E48:E48,9,match,1
28,0.975563781785642,0.916762022434335,E39:E39,1,match,1
29,0.97997835578803,0.927400447275553,E39:E39,2,match,1
30,0.980912760426178,0.927068328952202,E39:E39,3,match,1
31,0.953860417217733,0.915340765618011,E39:E39,4,match,1
32,0.94234577025177,0.831943716641813,E39:E39,5,match,1
33,0.916694790277345,0.812276053828144,E39:E39,6,match,1
34,0.887832726397383,0.750653600525441,E39:E39,7,match,1
35,0.846405581715739,0.697498559099379,E39:E39,8,match,1
36,0.872990205428011,0.702748161704715,E39:E39,9,match,1
37,0.981085969687755,0.910589940233469,E36:E36,1,match,1
38,0.992947817620708,0.948721899017605,E36:E36,2,match,1
39,0.926724689901362,0.821886242019482,E36:E36,3,match,1
40,0.885438682203606,0.799830992939026,E36:E36,4,match,1
41,0.770380977782004,0.831782466466534,E36:E36,5,match,1
42,0.980369412003504,0.932949369430184,E36:E36,6,match,1
43,0.967301470842109,0.917663363256545,E36:E36,7,match,1
44,0.976795102460074,0.912164180136762,E36:E36,8,match,1
45,0.9657263919934,0.867175494297368,E36:E36,9,match,1
46,0.800584201562437,0.743768416799638,E34:E34,1,match,1
47,0.793388255202111,0.830107681134934,E34:E34,2,match,1
48,0.772874954082366,0.765388909345788,E34:E34,3,match,1
49,0.849597234230296,0.829887612026725,E34:E34,4,match,1
50,0.875829458612031,0.764202526601471,E34:E34,5,match,1
51,0.92488714080534,0.780991498437465,E34:E34,6,match,1
52,0.922535062567375,0.78953464997471,E34:E34,7,match,1
53,0.739814359077929,0.7270993433872,E34:E34,8,match,1
54,0.881770114230746,0.67888373566834,E34:E34,9,match,1
55,0.857852545986696,0.780027202041656,E28:E28,1,match,1
56,0.755470720684159,0.779451902727947,E28:E28,2,match,1
57,0.860055468381706,0.853140957957286,E28:E28,3,match,1
58,0.938318553053214,0.823248841443236,E28:E28,4,match,1
59,0.938774912513217,0.775940623467939,E28:E28,5,match,1
60,0.894854856187484,0.865178964572937,E28:E28,6,match,1
61,0.92835332693477,0.754723904540783,E28:E28,7,match,1
62,0.947535632471361,0.812310099342372,E28:E28,8,match,1
63,0.94635878451599,0.818606908685366,E28:E28,9,match,1
64,0.950297123310155,0.877406067626044,E27:E27,1,match,1
65,0.974730828108769,0.875944376461551,E27:E27,2,match,1
66,0.975725223279873,0.907479901103858,E27:E27,3,match,1
67,0.943878047146437,0.891974738571763,E27:E27,4,match,1
68,0.943820160303722,0.906158988959924,E27:E27,5,match,1
69,0.933713146859483,0.922272217052253,E27:E27,6,match,1
70,0.971878239159668,0.904734259260673,E27:E27,7,match,1
71,0.983884185310981,0.881663136319822,E27:E27,8,match,1
72,0.980089308477574,0.828379697592195,E27:E27,9,match,1
73,0.911980163323368,0.722313073496888,E24:E24,1,match,1
74,0.953269600443672,0.751892576787643,E24:E24,2,match,1
75,0.957156188030179,0.665876246202291,E24:E24,3,match,1
76,0.948112905026972,0.720551258652185,E24:E24,4,match,1
77,0.955046434256256,0.600532575386519,E24:E24,5,match,1
78,0.936809722559716,0.713488852888392,E24:E24,6,match,1
79,0.935168798705027,0.72849187804315,E24:E24,7,match,1
80,0.883338970533656,0.680029524732884,E24:E24,8,match,1
81,0.876845275919764,0.693995958800242,E24:E24,9,match,1
82,-0.008894126684236,0.108428319299195,E10:T10,1,nonmatch,1
83,-0.044641881492166,0.107796649706401,E10:T10,2,nonmatch,1
84,0.291985851975467,0.114133262647259,E10:T10,3,nonmatch,1
85,0.222515664039466,0.198320531572715,E10:T10,4,nonmatch,1
86,-0.041371812029653,0.071695372755177,E10:T10,5,nonmatch,1
87,-0.188635460285542,0.253624815977913,E10:T10,6,nonmatch,1
88,-0.145412582124348,0.337301395511494,E10:T10,7,nonmatch,1
89,0.00136124777454,0.455500474851351,E10:T10,8,nonmatch,1
90,-0.064846973641895,0.264873073500665,E10:T10,9,nonmatch,1
91,0.122061048689569,0.151113831047768,E10:E48,1,nonmatch,1
92,0.021812645032066,0.166841381365365,E10:E48,2,nonmatch,1
93,0.063248774643808,0.171409375675924,E10:E48,3,nonmatch,1
94,-0.096204641531401,0.035688324149143,E10:E48,4,nonmatch,1
95,0.126589700141994,0.148318588997848,E10:E48,5,nonmatch,1
96,-0.087413967382932,0.403793582581794,E10:E48,6,nonmatch,1
97,0.079323981667359,0.429226899484727,E10:E48,7,nonmatch,1
98,0.349055857156367,0.208314592499927,E10:E48,8,nonmatch,1
99,0.095035312571569,0.128894165843856,E10:E48,9,nonmatch,1
100,0.483240124334653,0.184630371536458,E10:E39,1,nonmatch,1
101,0.434155410949572,0.16222651734931,E10:E39,2,nonmatch,1
102,0.167774410594308,0.306530178839063,E10:E39,3,nonmatch,1
103,-0.016643013645673,0.233844491512036,E10:E39,4,nonmatch,1
104,0.097413674755062,0.047749128211447,E10:E39,5,nonmatch,1
105,-0.079160685934959,0.090752343374981,E10:E39,6,nonmatch,1
106,0.147429487956605,0.148888364577765,E10:E39,7,nonmatch,1
107,0.271152698108589,0.128598274460311,E10:E39,8,nonmatch,1
108,0.214796393985114,0.212448214906714,E10:E39,9,nonmatch,1
109,0.347672377587852,0.238575450316628,E10:E36,1,nonmatch,1
110,0.262920306468995,0.235159302053549,E10:E36,2,nonmatch,1
111,0.100071796061923,0.280698622795276,E10:E36,3,nonmatch,1
112,-0.125207190010434,0.184430499622714,E10:E36,4,nonmatch,1
113,0.082082844192505,0.088017641040226,E10:E36,5,nonmatch,1
114,0.083891465644825,0.099754881905184,E10:E36,6,nonmatch,1
115,0.026234148616419,0.001166365680568,E10:E36,7,nonmatch,1
116,0.248471560280695,0.032377700117019,E10:E36,8,nonmatch,1
117,0.347390916026443,0.119990229708839,E10:E36,9,nonmatch,1
118,0.186988660116085,0.216202108226201,E10:E34,1,nonmatch,1
119,0.046202641868209,0.300707550273452,E10:E34,2,nonmatch,1
120,0.063107442729167,0.184389171515708,E10:E34,3,nonmatch,1
121,-0.016163679737139,0.149026791625739,E10:E34,4,nonmatch,1
122,0.01540858021597,0.26606167440862,E10:E34,5,nonmatch,1
123,-0.232625080441611,0.245327469931002,E10:E34,6,nonmatch,1
124,-0.134876229290575,0.270471671968302,E10:E34,7,nonmatch,1
