1954	2	17	55	94	81	76	35	33	17	10	2	17
1955	0	4	41	82	86	75	37	23	13	20	18	3
1956	1	38	26	74	50	52	50	30	13	22	5	7
1957	16	4	30	151	136	102	34	8	11	13	58	37
1958	8	15	8	62	43	87	68	34	13	7	37	1
1959	12	18	33	22	153	41	42	20	46	17	9	2
1960	7	25	24	58	146	84	23	36	15	14	18	1
1961	1	27	105	62	91	64	54	14	48	8	30	15
1962	12	21	33	33	133	99	47	37	14	6	5	2
1963	15	5	46	75	49	46	42	21	24	6	14	0
1964	10	1	33	108	90	95	41	60	22	21	13	14
1965	18	30	28	111	162	82	40	35	45	15	32	6
1966	1	17	11	61	61	70	60	30	11	22	19	11
1967	36	6	32	122	79	110	51	18	30	33	8	52
1968	3	6	18	85	96	83	26	45	19	6	36	28
1969	3	3	7	54	69	99	61	46	16	15	5	18
1970	7	11	23	102	55	88	46	32	39	37	10	11
1971	14	73	35	68	126	124	74	44	38	34	16	51
1972	31	6	58	88	100	77	81	43	36	25	15	7
1973	28	9	68	136	208	154	54	33	57	21	72	43
1974	23	18	31	242	117	118	42	59	16	39	10	5
1975	47	37	71	76	114	116	35	30	22	9	34	18
1976	7	32	147	78	100	112	52	21	16	7	0	0
1977	3	14	58	64	127	81	44	38	37	16	14	18
1978	14	4	8	73	70	66	49	31	5	4	5	24
1979	3	4	36	94	64	96	31	47	39	36	16	2
1980	1	5	34	104	134	142	65	53	20	39	0	0
1981	0	25	26	56	130	130	53	33	13	27	5	1
1982	15	3	51	117	174	112	51	16	30	4	14	86
1983	13	34	45	48	158	88	57	35	7	10	41	45
1984	0	16	49	97	107	125	44	22	10	38	22	4
1985	0	5	23	76	88	45	24	66	23	13	11	2
1986	0	19	61	50	71	60	45	38	39	16	11	1
1987	0	17	24	9	47	53	78	21	8	1	47	11
1988	15	1	16	42	77	35	42	35	22	10	106	18
1989	8	15	27	47	157	132	29	9	12	18	32	1
1990	4	42	67	70	130	153	19	16	24	25	14	32
1991	11	10	94	122	86	47	19	19	9	8	19	0
1992	12	12	25	21	56	172	88	40	22	22	116	13
1993	6	19	20	37	72	119	59	42	32	25	6	3
1994	4	3	27	77	31	90	55	52	7	14	27	1
1995	20	4	13	37	172	51	37	4	3	21	46	5
1996	18	7	36	83	77	39	60	10	35	28	31	6
1997	35	8	72	23	65	45	69	11	9	47	15	6
1998	18	35	40	87	105	139	15	13	43	36	8	2
1999	109	13	32	90	113	61	34	23	15	7	2	10
2000	13	20	27	75	76	28	22	17	18	18	24	14
2001	1	18	17	68	53	50	23	13	25	63	68	6
2002	2	1	19	54	52	23	14	13	19	23	63	28
2003	0	7	16	46	243	48	61	12	15	5	27	1
2004	1	3	16	32	189	68	35	40	123	26	57	11
2005	17	2	20	44	25	85	40	56	56	5	93	7
2006	26	6	68	114	32	28	12	21	37	17	33	23
2007	14	32	74	66	83	27	19	27	13	54	4	9
2008	51	89	64	83	212	96	23	28	23	4	7	28
2009	2	25	59	110	87	65	38	21	2	28	1	16
2010	13	0	21	56	117	126	50	18	16	45	32	20
2011	8	44	38	497	156	59	25	12	18	8	25	8
2012	39	39	79	74	29	27	11	8	5	19	0	31
2013	43	15	9	39	112	37	19	12	6	32	64	13
2014	0	22	6	88	36	131	34	4	21	47	15	8

